Category,Dx Code,Practice Code,PQRI.,Recall,SNOMED CT,Description
" Neuro"," 377.49"," 377.49"," "," "," "," Other Dosorders of the Optic nerve"
" Neuro"," 228.0"," 228.0"," "," "," 402867006"," Capillary Hemangioma"
" Other"," 369.60"," 369.60"," "," "," "," Blindness, One Eye"
" Other"," 369.4"," 369.4"," "," "," "," Blindness Both Eye"
" Other"," 368.8"," 368.8"," "," "," "," Blurred Vision"
" Other"," 375.22"," 375.22"," "," "," "," Epiphora d/t insufficient drainage"
" Other"," 368.13"," 368.13"," "," "," 70323002"," Eye Strain"
" Other"," 379.91"," 379.91"," "," "," "," Pain in or around Eye"
" Other"," 368.15"," 368.15"," "," "," 56170001"," Photopsia"
" Other"," 368.10"," 368.10"," "," "," 78455002"," Subjective Visual Disturbance"
" Other"," V72.0"," V72.0"," "," "," "," Normal Exam"
" Other"," 117.9"," 117.9"," "," "," "," Fungemia"
" Other"," 921.0"," 921.0"," "," "," "," Black Eye"
" Other"," V43.1"," V43.1"," "," "," 95217000"," Pseudophakia"
" Other"," 368.59"," 368.59"," "," "," "," Color Deficiency NEC"
" Other"," 369.9"," 369.9"," "," "," "," Unspecified Visual Loss"
" Other"," 376.30"," 376.30"," "," "," "," Proptosis"
" Other"," 802.6"," 802.6"," "," "," "," Orbital fracture (blow-out) closed"
" Other"," 45.69"," 45.69"," "," "," "," Other States Following Eye Surgery"
" Other"," 368.12"," 368.12"," "," "," "," Transient visual loss"
" Other"," 921.2"," 921.2"," "," "," "," Orbital contusion"
" Other"," 378.9"," 378.9"," "," "," 22066006"," Strabismus"
" Other"," 224.1"," 224.1"," "," "," "," Orbital tumor benign"
" Other"," 375.32"," 375.32"," "," "," 85777005"," Dacryocystitis"
" Other"," 375.42"," 375.42"," "," "," 84627005"," Chronic Dacryocystitis"
" Other"," 376.01"," 376.01"," "," "," 194005002"," Orbital cellulitis"
" Other"," V04.81"," V04.81"," "," "," 6142004"," Influenza"
" Other"," 368.03"," 368.03"," "," "," "," Amblyopia Refractive"
" Other"," 300.11"," 300.11"," "," "," "," Hysterical Vision Loss"
" Other"," 368.01"," 368.01"," "," "," "," Amblyopia, Strabismic"
" Other"," 368.80"," 368.80"," "," "," "," Blurred Vision"
" Other"," 369.4"," 369.4"," "," "," "," Blindness, Legal"
" Other"," 368.13"," 368.13"," "," "," "," Photophobia"
" Other"," 377.24"," 377.24"," "," "," 57138009"," Pseudopapilledema"
" Other"," 368.52"," 368.52"," "," "," "," Deutan Color Vision Defect"
" Other"," 376.31"," 376.31"," "," "," 18265008"," Exophthalmos"
" Other"," 921.3"," 921.3"," "," "," "," Contusion of Eyeball"
" Other"," 368.41"," 368.41"," "," "," "," Scotoma Involving Central Area"
" Other"," 368.43"," 368.43"," "," "," "," Sector or arcuate defects"
" Other"," 368.44"," 368.44"," "," "," "," Other Localized Visual Field Defect"
" Other"," 996.59"," 996.59"," "," "," "," Mechanical complication of other specified prosthetic device, due to other implantand internal device, NEC"
" Other"," 368.14"," 368.14"," "," "," "," Visual distortions of shape and size "
" Other"," 173.3"," 173.3"," "," "," "," skin removal of other and unspecified parts of face"
" Other"," zip"," zip"," "," "," "," zip code screening"
" Other"," 368.13"," 368.13"," "," "," "," Asthenopia "
" Other"," 224.5"," 224.5"," "," "," "," neo."
" Other"," 277.5"," 277.5"," "," "," "," Hunters syndrome"
" Other"," 362.72"," 362.72"," "," "," "," retinal dyst."
" Other"," E928.9"," E928.9"," "," "," "," Other and unspecified environmental and accidental causes; unspecified accident  Other and unspecified environmental and accidental causes; unspecified accident  Other and unspecified environmental and accidental causes; unspecified accident"
" Other"," 918.9"," 918.9"," "," "," "," Superficial injury of eye and adnexa; other and unspecified superficial injuries of eye"
" Other"," 375.21"," 375.21"," "," "," 31788005"," Epiphora due to excess lacrimation  "
" Other"," 695.3"," 695.3"," "," "," "," Roscea"
" Other"," 377.73"," 377.73"," "," "," "," Associated with inflammatory disorders"
" Other"," 190.1"," 190.1"," "," "," "," Neoplasm of the Orbit"
" Other"," 378.50"," 378.50"," "," "," "," Strabismus - Paralytic"
" Other"," 370.35"," 370.35"," "," "," "," Neurotrophic Keratitis"
" Other"," 368.02"," 368.02"," "," "," "," Amblyopia, Deprivation"
" raci"," RTN.CH"," RTN.CH"," "," "," "," Return Check Charge"
" raci"," 362.02"," 9"," 2021F"," "," "," PDR"
" raci"," 362.07"," 10"," "," "," "," diabetes macular edema"
" raci"," 362.52"," 16"," 2019F, 4177F"," "," "," AMD wet"
" raci"," 250.51"," 1"," 2022F"," "," "," TypeI with ocular complications"
" raci"," 250.53"," 2"," 2022F"," "," "," Type I w/ocular complications, uncontrolled"
" raci"," 250.01"," 3"," 2022F "," "," "," Type I w/o complications"
" raci"," 362.51"," 15"," 2019F, 4177F"," "," "," AMD (DRY)"
" raci"," V43.1"," 76"," "," "," 95217000"," Pseudophakia"
" raci"," 360.00"," 46"," "," "," 1847009"," Endophthalmitis"
" raci"," 375.15"," 44"," "," "," "," Dry Eyes"
" raci"," 362.53"," 41"," "," "," 193387007"," Cystoid Macular Edema"
" raci"," 362.57"," 43"," "," "," "," Drusen"
" raci"," v67.09"," 48"," "," "," "," Follow Up post surgery"
" raci"," 362.83"," 84"," "," "," 6141006"," Retinal Edema"
" raci"," 379.23"," 106"," "," "," "," Vit Hemorrhage"
" raci"," 379.21"," 108"," "," "," "," Vitreous Seperation"
" raci"," 250.03"," 4"," 2022F"," "," "," Type 1 w/o comp, uncontrolled"
" raci"," 250.50"," 5"," 2022F"," "," "," Type 2 w/ ocular complications"
" raci"," 250.52"," 6"," 2022F"," "," "," Type 2 w/ ocular comp, uncontrolled"
" raci"," 250.00"," 7"," 2022F"," "," "," Type 2 w/o complications"
" raci"," 250.02"," 8"," 2022F"," "," "," Type 2 w/o comp, uncontrolled"
" raci"," 362.04"," 11"," 2021F, 5010F"," "," "," Mild NPDR"
" raci"," 362.05"," 12"," 2021F, 5010F"," "," "," Moderate NPDR"
" raci"," 362.06"," 13"," 2021F, 5010F"," "," "," Severe NPDR"
" raci"," 372.00"," 14"," "," "," 53726008"," Acute Conjunctivitis"
" raci"," 363.43"," 17"," "," "," "," Angioid Streaks"
" raci"," 379.31"," 18"," "," "," 24010005"," Aphakia"
" raci"," 379.22"," 19"," "," "," 95800001"," ASteroid Hyalosis"
" raci"," 373.00"," 20"," "," "," 41446000"," Blepharitis"
" raci"," 362.32"," 21"," "," "," "," BRAO"
" raci"," 362.32"," 22"," "," "," "," BRVO"
" raci"," 366.16"," 23"," "," "," "," Cataract, NS"
" raci"," 366.14"," 24"," "," "," "," Cataract PSC"
" raci"," 366.15"," 25"," "," "," "," Cataract Cortcal"
" raci"," 362.41"," 26"," "," "," "," Central Serous Retinopathy"
" raci"," 362.35"," 27"," "," "," "," CRVO"
" raci"," 363.33"," 28"," "," "," "," Chorioretinal scars"
" raci"," 363.10"," 29"," "," "," 46627006"," Chorioretinitis"
" raci"," 363.10"," 30"," "," "," 46627006"," Chorioretinitis"
" raci"," 996.53"," 42"," "," "," "," Dislocated IOL"
" raci"," 224.6"," 31"," "," "," "," Choroidal Nevus"
" raci"," 36214"," 87"," "," "," "," Retinal MA (non Diabetic)"
" raci"," 362.56"," 47"," "," "," "," Epriretinal Membrane"
" raci"," 362.84"," 60"," "," "," "," Iscchemia, Ocular Syndrome"
" raci"," 362.63"," 61"," "," "," "," Lattice Degeration"
" raci"," 362.54"," 62"," "," "," 232006002"," Macular Hole"
" raci"," 362.56"," 63"," "," "," "," Macular Pucker"
" raci"," 360.21"," 64"," "," "," "," Myopia, High  (degerative)"
" raci"," 346.80"," 65"," "," "," "," Ocular Migraine"
" raci"," 366.53"," 66"," "," "," "," Opacified lens capsule"
" raci"," 377.10"," 67"," "," "," 76976005"," Optic Atrophy"
" raci"," 379.21"," 75"," "," "," 247081001"," Posterior Vitreous Detachment"
" raci"," 998.82"," 77"," "," "," "," Retained Lens Fragments"
" raci"," 361.02"," 78"," "," "," "," Retinal Detach, multiple"
" raci"," 361.07"," 79"," "," "," "," Retinal Detach, Old"
" raci"," 361.01"," 80"," "," "," "," Retinal Detach, Single"
" raci"," 365.22"," 50"," "," "," "," Glaucoma, Angle Closure"
" raci"," 365.12"," 51"," 2027F"," "," "," Glaucoma, low tension"
" raci"," 365.63"," 52"," "," "," "," glaucoma, neovascular"
" raci"," 365.11"," 53"," 2027F"," "," "," Glaucoma, open angle"
" raci"," 115.02"," 55"," "," "," 12962009"," Histoplasmosis"
" raci"," 364.41"," 57"," "," "," 75229002"," Hyphema"
" raci"," 363.20"," 104"," "," "," "," Uveitis, posterior NOS"
" raci"," 363.21"," 105"," "," "," "," Uveitis, pars plantis"
" raci"," 362.31"," 40"," "," "," "," CRAO"
" raci"," 361.81"," 83"," "," "," "," Retinal Detach, Traction"
" raci"," 362.16"," 88"," "," "," 61267008"," Retinal Neovascularization"
" raci"," 361.02"," 78"," "," "," "," Rtinal detach, multiple"
" raci"," 361.07"," 79"," "," "," "," retinal detach, old"
" raci"," 361.01"," 80"," "," "," "," retinal detach, single"
" raci"," 361.00"," 81"," "," "," "," retinal detach, megmatogenous"
" raci"," 361.05"," 82"," "," "," "," Retinal detach, total"
" raci"," 362.81"," 85"," "," "," "," Retinal Hemorrhage  SRH"
" raci"," 361.31"," 86"," "," "," "," Retinal Hole w/o RD, multiple"
" raci"," 363.71"," 32"," "," "," "," Chroidal detachment, serous"
" raci"," 190.6"," 133"," "," "," "," Chroidal Melanoma"
" raci"," 362.16"," 34"," "," "," "," Choroidal Neovascularization"
" raci"," 363.63"," 35"," "," "," "," Chroidal Rupture"
" raci"," 362.12"," 36"," "," "," "," Coats' /Exudative Retinopathy"
" raci"," 921.9"," 37"," "," "," "," Contusion, Non-specified"
" raci"," 371.22"," 38"," "," "," "," Corneal edema, secondary"
" raci"," 371.57"," 39"," "," "," "," Corneal Guttata"
" raci"," 362.31"," 40"," "," "," "," CRAO"
" raci"," 362.83"," 41"," "," "," "," Retina Edema"
" raci"," 379.29"," 109"," "," "," "," Vitritis/Vitreous Disorders"
" raci"," 379.24"," 107"," "," "," "," Vitreous Opacities"
" raci"," 921.9"," 103"," "," "," "," Trauma Eye"
" raci"," 446.5"," 102"," "," "," 400130008"," Temporal Arteritis"
" raci"," 361.12"," 95"," "," "," "," Retinoschisis, bullous"
" raci"," 361.11"," 96"," "," "," "," Retinoschisis, Flat"
" raci"," 362.75"," 97"," "," "," "," Rod Cone Dystrophy"
" raci"," 362.21"," 98"," "," "," "," ROP"
" Refractive"," 379.31"," 379.31"," "," "," 24010005"," Aphakia"
" Refractive"," 367.20"," 367.20"," "," "," "," Astigmatism NOS"
" Refractive"," 367.0"," 367.0"," "," "," "," Hyperopia"
" Refractive"," 367.1"," 367.1"," "," "," 57190000"," Myopia"
" Refractive"," 367.4"," 367.4"," "," "," 41256004"," Presbyopia"
" Refractive"," 368.00"," 368.00"," "," "," "," Amblyopia NOS"
" Refractive"," 378.11"," 378.11"," "," "," "," Exotropia, Constant Unilateral"
" Refractive"," 378.31"," 378.31"," "," "," 40608009"," Hypertropia"
" Refractive"," 378.42"," 378.42"," "," "," 46343005"," Exophoria"
" Refractive"," 367.53"," 367.53"," "," "," "," Spasm of accommodation"
" Refractive"," 367.53"," 367.53"," "," "," "," Accommodative dysfunction"
" Refractive"," 378.35"," 378.35"," "," "," "," Esotropia, Accommodative"
" Refractive"," 378.10"," 378.10"," "," "," "," Exotropia, NOS"
" Refractive"," 367.31"," 367.31"," "," "," 3289004"," Anisometropia"
" Retina"," 362.35"," 362.35"," "," "," "," Central Retinal Vein Occulsion"
" Retina"," 362.34"," 362.34"," "," "," 88032003"," Amaurosis Fugax"
" Retina"," 362.36"," 362.36"," "," "," "," Branch Retinal Vein Occular"
" Retina"," 362.32"," 362.32"," "," "," "," Branch Retinal Artery Occulsion"
" Retina"," 362.06"," 362.06"," 2021F"," "," "," Severe Diabetic Retinopathy"
" Retina"," 362.31"," 362.31"," "," "," 38742007"," Central Retinal Artery Occlusion"
" Retina"," 363.30"," 363.30"," "," "," "," Choriaretinal Scar NOS"
" Retina"," 224.6"," 224.6"," "," "," "," Choroidal Nevus"
" Retina"," 362.01"," 362.01"," 2021F, 5010F, G8397, 2022F, 2024F, 2026F"," "," "," Background Diabetic Retinopathy"
" Retina"," 362.02"," 362.02"," 2021F, 5010F, G8397, 2022F, 2024F, 2026F"," "," "," Prolif Diabetic Retinopathy"
" Retina"," 362.57"," 362.57"," "," "," "," Drusen(Degenerative)"
" Retina"," 362.56"," 362.56"," "," "," "," Macular Puckering"
" Retina"," 362.83"," 362.83"," "," "," 6141006"," Retinal Edema"
" Retina"," 362.51"," 362.51"," 2019F, 4177F"," "," "," Macular Degeneration (Dry)"
" Retina"," 362.52"," 362.52"," 2019F, 4177F"," "," "," Macular Degeneration(Wet)"
" Retina"," 362.54"," 362.54"," "," "," 232006002"," Macular Hole"
" Retina"," 379.21"," 379.21"," "," "," "," Post Vitreous Detachment"
" Retina"," 361.33"," 361.32"," "," "," "," Retinal Tear, Horseshoe"
" Retina"," 362.81"," 362.81"," "," "," 28998008"," Retinal Hemorrhage"
" Retina"," 379.23"," 379.23"," "," "," 31341008"," Vitreous Hemorrhage"
" Retina"," 379.24"," 379.24"," "," "," 15013002"," Vitreous Floaters"
" Retina"," 362.12"," 362.12"," "," "," 25506007"," Exudative Retinopathy"
" Retina"," 362.74"," 362.74"," "," "," 28835009"," Retinitis Pigmentosa"
" Retina"," 361.06"," 361.06"," "," "," "," Retinal Detachment, Old"
" Retina"," 362.63"," 362.63"," "," "," "," Lattice Degeneration"
" Retina"," 362.53"," 362.53"," "," "," "," CME"
" Retina"," 361.01"," 361.01"," "," "," "," Retinal Detachment, Recent"
" Retina"," 360.20"," 360.20"," "," "," "," Myopic degeneration"
" Retina"," 362.16"," 362.16"," "," "," "," Neovascularization of the Retina"
" Retina"," 361.10"," 361.10"," "," "," 44268007"," Retinoschisis"
" Retina"," 136.1"," 136.1"," "," "," "," Behcets syndrome"
" Retina"," 362.11"," 362.11"," "," "," 6962006"," Hypertensive retinopathy"
" Retina"," 362.04"," 362.04"," 2021F"," "," "," Mild Diabetic Retinopathy"
" Retina"," 362.05"," 362.05"," 2021F"," "," "," Moderate Diabetic Retinopathy"
" Retina"," 363.34"," 363.34"," "," "," "," Retinal Scar, Peripheral Chorioretinal"
" Retina"," 362.42"," 362.42"," "," "," "," Pigment Epithelial Detachment"
" Retina"," 362.42"," 362.42"," "," "," "," PED"
" Retina"," 362.41"," 362.41"," "," "," "," Central Serous Retinopathy"
" Retina"," 362.61"," 362.61"," "," "," "," Pavingstone Retinal Degeneration"
" Retina"," 362.83"," 362.83"," "," "," "," Macular Edema"
" Retina"," 361.31"," 361.31"," "," "," "," Retinal Hole without Detachment"
" Retina"," 362.33"," 362.33"," "," "," "," Hollenhorst Plaque"
" Retina"," 362.56"," 362.56"," "," "," 367649002"," Epiretinal Membrane"
" Retina"," 361.12"," 361.12"," "," "," "," Retinoschisis, Bullous"
" Retina"," 361.11"," 361.11"," "," "," "," Retinoschisis, Flat"
" Retina"," 362.53"," 362.53"," "," "," 193387007"," Cystoid Macular Edema"
" Retina"," 362.50"," 362.50"," 2019F"," "," "," Macular Degeneration, Age Related"
" Retina"," 362.07"," 362.07"," "," "," 312912001"," Diabetic Macular Edema"
" Retina"," 363.32"," 363.32"," "," "," "," Macular Scar"
" Retina"," v45.69"," v45.69"," "," "," "," Other states following surgery of eye and adnexa"
" Retina"," 365.65"," 365.65"," "," "," "," Glaucoma associated with ocular trauma Glaucoma associated with ocular trauma Glaucoma associated with ocular trauma "
" Retina"," 361.81"," 361.81"," "," "," "," Traction detachment of retina, Traction detachment with vitreoretinal organization "
" Retina"," 362.20"," 362.20"," "," "," "," Retinopathy of prematurity, unspecified "
" Retina"," 871.1"," 871.1"," "," "," "," Ocular laceration with prolapse or exposure of intraocular tissue"
" Retina"," 362.29"," 362.29"," "," "," "," Other nondiabetic proliferative retinopathy "
" Retina"," 379.22"," 379.22"," "," "," "," Astaroid Hyalosis"
" Retina"," 361.32"," 361.32"," "," "," "," retinal tear, horseshoe"
" Retina"," 362.17"," 362.17"," "," "," "," retina, vaxcular"
" Retina"," 371.55"," 371.55"," "," "," "," Macular Dystrophy"
" Retina"," 363.61"," 363.61"," "," "," 122003"," choroidal hemorrhage"
" Retina"," 360.30"," 360.30"," "," "," "," Hypotony of eye unspecified "
" Retina"," 362.76"," 362.76"," "," "," "," Best's Disease"
" Retina"," 362.76"," 362.76"," "," "," "," Dystrophies primarily involving the retinal pigment epithelium "
" Retina"," 921.9"," 103"," "," "," "," Trauma Eye"
" Retina"," 362.55"," 362.55"," "," "," "," Bull's Eye Maculopathy"
" Retina"," 362.15"," 362.15"," "," "," "," Macular Telangiectasia"
" Retina"," 364.42"," 99"," "," "," "," Rebeosis"
" Systemic"," V58.69"," V58.69"," "," "," "," Plaquenil Treatment"
" Systemic"," 042"," 042"," "," "," 62479008"," AIDS"
" Systemic"," 250.00"," 250.00"," 2022F, 2024F, 2026F"," "," "," Diabetes Non Insulin"
" Systemic"," 250.01"," 250.01"," 2022F, 2024F, 2026F"," "," "," Diabetes Insulin"
" Systemic"," 250.50"," 250.50"," 2022F, 2024F, 2026F"," "," "," Diabetic Non-Insulin w/eye comp"
" Systemic"," 250.51"," 250.51"," 2022F, 2024F, 2026F"," "," "," Diabetic Insulin w/eye complication"
" Systemic"," 270.2"," 270.2"," "," "," 15890002"," Albinism"
" Systemic"," 714.30"," 714.30"," "," "," "," Juvenile Rheumatoid Arthritis NOS"
" Systemic"," V16.8"," V16.8"," "," "," "," Family Hx-Malignancy NEC"
" Systemic"," 112.5"," 112.5"," "," "," "," Candidemia"
" Systemic"," 710.0"," 710.0"," "," "," "," Lupus"
" Systemic"," 446.5"," 446.5"," "," "," 400130008"," Temporal arteritis"
" Systemic"," 242.00"," 242.00"," "," "," "," Graves Disease"
" Systemic"," 088.81"," 088.81"," "," "," 23502006"," Lyme disease"
" Systemic"," 250.02"," 250.02"," 2022F, 2024F, 2026F"," "," "," Diabetes Type II uncontrolled"
" Systemic"," 714.0"," 714.0"," "," "," 69896004"," Rheumatoid Arthritis"
" Systemic"," 725"," 725"," "," "," 65323003"," Polymyalgia rheumatica"
" Systemic"," 729.1"," 729.1"," "," "," 26889001"," Myositis"
" Systemic"," 710.2"," 710.2"," "," "," "," Sjogren syndrome"
" Systemic"," 135"," 135"," "," "," 31541009"," Sarcoidosis"
" Systemic"," V58.9"," V58.9"," "," "," "," Long Term Use Meds"
" Systemic"," 115.92"," 115.92"," "," "," "," Histoplasmosis Retinitis"
" Systemic"," 401.9"," 401.9"," "," "," "," Hypertension"
" Trama eye"," 921.9"," 103"," "," "," "," Trama eye"
" Trama eye"," 365.59"," 365.59"," "," "," "," Glaucoma assoicated with other disorders"
